surface,embedding
gon,1.240729 -0.445815 0.504806 -0.830505 0.169623 0.610856 0.489811 1.146165 0.149230 -0.327903 -1.162557 -1.173339 -0.844610 -0.114582 -0.790817 0.351966
dominate,0.141941 -0.759374 0.221174 -0.518268 -0.147620 -1.067249 0.487173 0.673597 0.578120 0.406758 -0.231130 -0.365946 -0.612483 -0.750607 -0.584533 0.067182
amounts,-0.167017 -0.830998 0.150239 1.712606 -0.211438 -0.297179 0.307913 -0.436633 -0.096824 -0.300796 0.148145 -0.313389 -0.365759 -0.902574 -0.463894 -0.176050
sinking,0.495714 -0.069149 -0.192375 0.372950 -0.172898 -0.168898 0.164038 0.614768 -0.211125 -0.611356 0.042292 -0.890605 -0.386218 -0.450324 -0.051078 -0.132570
victory,-0.598476 -0.706022 0.080497 1.370667 -0.252049 1.084945 0.720742 -0.107266 -0.383924 -0.341588 0.190943 -0.192550 -0.494806 -0.454951 0.144161 -0.125786
leonardo,0.001915 0.755150 -0.621265 0.138537 -1.020453 -0.432828 0.235231 -0.513454 0.049584 -0.272849 0.031823 0.111528 -0.348910 -0.459434 -0.876082 0.049580
pocket,0.387598 -0.227482 0.354276 0.528034 -0.437179 -0.516937 0.296084 -0.216743 -0.575052 0.309517 0.067057 -0.058758 0.151205 -0.802247 -0.392613 0.345241
heaven,-0.366210 -0.260302 0.614446 0.466706 -0.580374 -0.602272 0.802889 0.110764 0.026941 -0.030013 0.170646 0.024564 0.242374 -0.685611 -0.111787 0.272270
requiring,1.557757 0.416356 0.335975 0.313620 0.108532 -0.991154 0.561445 0.063076 -0.188859 0.215307 -0.034291 -0.276386 0.237780 -0.079071 1.270155 -0.076418
kidney,0.135631 -0.705295 -0.057925 -0.068603 -0.336943 -0.810624 0.413578 0.156519 -0.546405 0.236317 0.092167 -0.103987 -0.297091 -0.569460 -0.428575 0.296637
mosques,-0.429451 -0.526020 0.427066 -0.429533 -0.902667 -0.495274 0.421870 0.383077 0.079820 -0.303396 0.207336 0.012809 -0.479631 -0.362140 -1.010077 0.022673
swap,-0.167216 0.184124 -0.252135 1.448725 -0.316576 -0.174267 0.565380 -0.634472 -0.282422 -0.071835 0.051341 0.052100 -0.232664 -0.846557 0.298126 -0.013574
gym,0.121134 -0.879381 0.015047 0.722709 -0.556463 0.440044 0.419622 0.002252 0.058261 0.123966 0.000835 -0.384936 -0.589897 -0.786294 -0.358007 -0.179419
unity,0.183157 -0.890135 -0.013942 0.464704 -0.701905 0.313215 0.173980 0.242969 0.270562 -0.414327 0.385508 -0.196364 -0.440960 -0.889915 -0.569399 -0.524462
religion,-0.148483 -1.124477 0.820653 -0.312749 -0.721669 -0.533751 0.611262 0.265602 -0.010784 0.207895 0.207555 -0.310542 0.040965 -0.691674 -0.457092 0.137939
smith,-0.419591 0.333895 -0.333512 0.014746 -0.718892 0.193364 -0.120061 -0.023994 -0.323416 -0.463019 -0.957418 -1.018080 -0.227361 -0.337083 -0.722664 -0.093268
anymore,0.399284 -0.728007 -0.162377 -0.747410 0.301233 -0.540166 0.791857 1.015560 1.116204 0.307996 -0.022243 -0.569173 -0.423971 -0.440134 -0.244746 -0.062406
tile,-0.319347 -0.435364 0.173607 -0.114837 -0.846415 0.126534 0.410294 0.287921 -0.150572 0.033186 0.457505 -0.209287 -0.323989 -0.557761 -0.378044 -0.451438
offers,0.226947 0.511373 0.338079 -0.224165 -0.457124 -0.878253 -0.021699 -0.503602 -0.828731 -0.416196 0.568393 0.238507 -0.455353 0.076992 0.997034 -0.152116
allegedly,1.265631 0.678779 -0.452388 0.257963 0.865262 0.428919 0.644874 0.584900 0.761893 -0.347468 -0.169230 -0.020361 -0.052387 -0.973073 -0.268933 -0.000359
guilty,0.203583 -0.371079 0.115352 0.168091 0.097428 -0.870974 0.428039 -0.285877 0.033137 0.333296 0.076551 -0.173181 -0.095483 -0.809168 -0.060768 -0.493464
dried,0.540833 0.048831 -0.606482 0.323063 -0.238821 -0.110294 0.387406 0.322920 -0.359364 0.278319 -0.422337 -0.238726 0.014902 -0.477483 0.699999 0.010177
insurgents,-0.261232 -1.022250 1.145539 -0.222477 -0.805755 0.519476 0.613504 0.046702 0.022046 0.646731 0.167798 -0.502348 -0.160898 -0.726220 -0.411127 -0.130832
predators,-0.504685 -0.441567 0.314643 -0.159276 -0.723944 -0.357056 0.556971 0.483538 -0.199573 -0.232614 0.170511 0.110611 -0.218672 -0.223206 -0.705452 0.073915
chain,-0.097861 -0.162632 0.046174 0.824570 -0.470916 -0.063503 0.620768 -0.090844 -0.402716 0.060244 0.148371 -0.159858 -0.047382 -0.613242 -0.448473 0.278492
organized,-0.500051 -0.450963 -0.011465 -0.322376 -0.157053 -0.121189 -0.045642 0.216967 -0.825142 -0.017076 -0.252854 1.350312 -0.070550 0.196259 -0.751170 -0.677033
posting,0.622858 -0.387366 0.351982 0.624540 -0.067096 -0.645515 0.395245 -0.051020 -0.299442 0.385839 0.205031 -0.478659 -0.572227 -0.484598 -0.278185 0.032693
neither,0.462659 0.966817 -0.074796 0.021490 0.639053 -0.262490 -0.285069 0.736235 -0.285580 -0.517319 0.170519 0.710280 0.568420 -1.539918 2.534861 0.692052
hurry,0.144471 0.120015 0.232338 0.342396 -0.446078 -0.995166 0.494867 0.491078 -0.190521 0.511624 -0.117478 -0.385776 -0.280122 -0.580100 -0.541699 0.729019
innocent,0.732076 -0.744956 -0.531220 0.069842 -0.535121 0.114118 0.234758 0.468198 -0.229578 0.488102 -0.420051 0.306405 0.185576 -0.942919 -0.230952 0.075304
reflects,1.000881 -0.222516 0.031546 0.181900 -0.687114 -0.646011 0.005005 -0.145388 -0.525205 -0.374422 -0.027480 -0.559295 -0.146274 0.326516 1.460731 -0.190471
hotline,0.236939 0.506815 -1.130200 0.253913 -0.536827 -0.668812 0.473751 -0.219005 -0.376141 -0.276740 0.245899 0.335007 -0.137358 -0.509839 0.014020 -0.323358
involvement,-0.065158 -0.159738 -0.166549 1.727229 -0.275652 -0.356413 0.072917 -0.636096 -0.505447 -0.234668 0.281154 -0.053351 -0.288705 -0.411252 -0.291487 -0.085842
receptionist,0.216001 -0.498516 0.166089 0.623656 -0.483446 0.172212 0.360970 -0.036255 -0.342235 0.182463 0.256382 -0.326306 -0.338738 -0.834622 -0.972389 0.044512
kalkat,-0.048296 0.568055 -0.218221 -0.276642 -0.676393 -0.245854 -0.151462 -0.051445 -0.366031 -0.404402 -0.541134 -0.780095 -0.595033 -0.318457 -1.008982 0.200130
compete,0.505502 -0.222739 -0.380250 3.211141 0.381741 -0.185743 0.661600 0.016403 0.328161 -0.087159 -0.003049 -0.586928 -0.397555 0.309413 1.092775 -0.316355
ignored,-0.550801 -0.733337 0.499021 -0.921838 -0.503088 -0.774744 0.185931 0.527712 0.143759 0.018461 0.413555 0.178488 -1.034283 0.067231 -0.364116 -0.113107
relatively,-0.101961 1.118985 0.255122 -0.540265 0.314343 -0.615097 -0.063080 0.456380 -1.251472 -0.261894 0.508387 1.356250 -0.709496 0.192831 0.001271 -0.351804
8:30,-0.015391 1.345600 -0.955780 0.161300 -0.733273 -0.783336 0.321752 -0.101410 -0.160342 -0.045290 0.153451 0.934092 0.303225 -1.237518 -0.167327 -0.451943
2012,-0.840878 -0.058194 0.004404 0.005528 -0.746882 -0.463823 1.039088 0.666213 0.017167 -0.180262 -0.185994 0.002047 0.449057 -0.575174 -1.244649 0.208995
2010,-0.224278 -0.134045 0.128044 -0.409939 -0.796103 -0.507067 0.632370 0.394663 -0.156848 0.194932 -0.036728 0.357666 0.183194 -0.982132 -0.484714 0.220266
2006,-0.430548 0.668007 -0.404976 0.221892 -0.470254 -1.020607 0.592149 0.277900 -0.142736 0.145181 0.062343 0.440513 0.053014 -1.129760 -0.484242 0.093093
reception,0.043337 -0.567218 -0.129069 0.110040 -0.623540 -0.359368 0.390933 0.358952 -0.185204 0.243675 0.243698 -0.139747 -0.457480 -0.766418 -0.125838 0.145413
holy,1.048893 -0.387213 -0.592611 0.174868 -0.425640 0.151698 0.062168 0.231203 -0.404981 0.549550 -0.276795 0.390220 0.259775 -1.024201 -0.350274 -0.088167
existing,-0.223908 0.034754 -0.923795 0.133389 -0.083491 -0.252908 -0.123596 -0.243193 -1.062217 -0.126833 0.250764 0.969676 -0.383159 0.835993 -0.258844 -0.215734
tame,0.457564 -0.557138 -0.592337 -0.036843 -0.449321 0.192905 0.712167 0.945936 -0.111548 0.537181 -0.338384 -0.312047 0.015890 -0.057024 0.934612 0.067609
approximately,1.127138 0.855822 -0.672339 -0.789189 0.256122 -1.364004 0.386079 0.538209 0.608132 0.121402 0.718641 0.483974 0.408435 -0.868777 0.406602 -0.670677
operative,-0.745967 -0.485279 -0.075114 0.993524 -0.242143 -0.444307 0.442343 -0.228377 -0.254988 -0.633326 -0.246218 0.017067 -0.333424 -0.253603 -0.765457 -0.210944
headed,0.933026 -0.147515 0.684589 0.531469 -0.235831 -0.718437 0.177480 0.316092 -0.525901 0.162641 0.341389 -0.452779 -0.011517 0.097183 1.989975 -0.025119
periods,-0.257644 -0.539038 0.336159 0.778101 -0.264668 -0.788388 0.489676 -0.326098 0.028416 -0.204135 0.099234 -0.341068 -0.247263 -0.688930 -0.512799 -0.066561
cheaper,-0.684104 -0.584746 0.535117 -0.160251 -0.112041 -0.001644 0.217389 0.483763 -0.279486 -0.032319 -0.136054 0.734271 -0.939733 -0.103464 -0.698907 -0.593223
host,0.029791 -0.480697 0.262232 0.730513 -0.445950 -0.557749 0.507050 -0.077750 -0.452833 -0.107700 0.861545 -0.289453 -0.119556 -0.209915 1.041541 -0.316186
kandahar,-0.346586 -1.081886 0.449238 -0.664815 -1.438834 -0.183440 0.484845 0.889419 0.141375 -0.176083 0.796231 -0.072877 0.327928 -0.361981 -0.490648 -0.239290
occur,0.784517 -0.808624 0.855805 1.516150 0.209919 -0.399580 0.597038 -0.197883 0.242126 0.186458 -0.047470 -0.634078 -0.528072 0.288954 0.510322 0.053897
trash,-0.215825 -0.844698 0.232754 0.433240 -0.776041 0.589831 0.519785 0.309468 -0.474428 0.313890 0.274668 -0.173075 -0.145882 -0.572178 0.283714 0.153564
professor,-0.353595 0.317185 -0.262343 1.407033 -0.676743 -0.288891 0.182300 -0.651190 0.321905 -0.809661 -0.081159 0.495868 -0.224677 -0.902359 -0.695687 -0.259907
arrested,0.526097 -0.226605 0.802219 1.290939 -0.006524 -0.559463 -0.121265 0.173492 -0.016791 0.006305 -0.596268 -0.681818 -0.687616 -0.347288 0.611139 0.113428
movements,-0.615008 -0.557368 0.244202 0.345050 -0.601841 -0.117121 0.343166 0.061354 0.080851 -0.519468 -0.087737 -0.258971 -0.496828 -0.446377 -0.917722 -0.298338
leadership,-0.445492 -0.676830 0.282237 1.790660 -0.319743 -0.168029 0.278136 -0.196571 -0.085864 -0.873909 0.356478 -0.261516 -0.208311 -0.439939 -0.903457 -0.281698
shocked,-0.818737 -0.413441 0.401626 1.333316 0.124872 -0.007228 0.477356 0.046227 -0.302347 -0.086696 -0.403692 0.682581 -0.818361 -0.135471 -0.025759 -0.258925
richmond,-0.524215 0.447105 -0.163452 -0.229834 -0.979725 -1.036713 0.161899 0.436220 -0.348720 -0.268042 -0.172617 -0.433036 0.168733 -0.477345 -0.955535 0.262987
taxi,0.430271 -1.279369 -0.311034 0.556401 -0.532034 -0.000742 0.134885 -0.305764 -0.467296 0.171103 -0.279767 -0.163300 -0.048800 -0.397837 -0.368597 -0.087841
christian,0.808041 -0.921689 -0.445673 0.483409 -0.065560 -0.469388 0.308425 0.237059 -0.175206 -0.015362 -0.267902 -0.020477 0.052285 -0.699887 -0.311964 0.110144
barclays,0.344487 0.014737 -0.571499 0.266545 -0.781458 -0.658233 0.077754 -0.149929 -0.697665 -0.079606 -0.059665 -0.217583 0.270834 -0.090140 -0.650129 -0.083881
peninsula,-0.243631 -0.057107 0.342989 -0.351117 -0.364656 -0.434018 0.662885 -0.086502 -0.152732 -0.490548 0.761588 -0.204982 -0.204759 -0.593231 -0.020554 -0.388476
reputation,-0.075917 -0.993759 0.654078 -0.237734 -0.366908 0.075922 0.759215 0.130537 -0.311483 0.168355 0.410039 -0.489592 -0.274390 -0.731371 0.088459 0.138500
collection,0.355644 -0.730327 0.118675 0.960440 0.036435 -0.723722 0.172556 -0.097555 -0.872480 0.011336 0.271570 -0.433664 -0.289600 -0.864089 -0.491379 0.341444
vital,0.760548 -0.380747 -1.011079 0.207945 -0.008236 -0.381252 0.554554 0.108097 -0.493507 0.297477 -0.508640 0.453345 0.660384 -0.774641 -0.164372 -0.175901
summary,-0.365858 -0.500396 0.414561 -0.004627 -0.607951 -0.886340 0.444120 0.329161 -0.227763 -0.163652 0.370511 -0.096310 -0.334474 -0.620762 -0.447554 0.194565
dramatic,0.786995 0.222136 -0.552729 -0.162132 -0.364941 -0.090662 0.071930 0.214302 -0.354677 0.101979 -0.453981 0.012822 -0.070570 -1.161254 -0.388853 0.002836
enjoyable,-0.660814 -0.795862 0.479988 0.208409 -0.206722 0.601020 0.176560 0.480073 -0.613781 0.023550 -0.483757 0.942721 -0.422561 -0.279442 0.001178 -0.348085
civilized,-0.109224 -1.410608 0.313708 -0.138526 -0.570653 0.541731 0.025362 0.466196 -0.831978 0.274577 -0.470155 1.077941 -0.378020 -0.115867 -1.093965 -0.319793
interceptor,0.051980 -0.085471 -0.673734 -0.074678 -0.732412 -0.708926 0.481684 -0.216342 -0.326652 -0.134472 -0.048756 0.157546 0.180224 -0.490081 -0.561108 -0.167706
nick,-0.467882 0.930701 -0.015357 0.486723 -0.796387 -1.061744 0.525153 -0.391350 0.224282 0.155906 0.563139 -0.196428 -0.360529 -0.400111 -0.755729 -0.081463
kyle,0.065363 -0.477176 0.130165 -0.013147 -0.602968 -0.963133 -0.010092 -0.404317 -0.199588 -0.122331 -0.127399 -0.013286 -0.563742 -0.548758 -0.908873 0.500325
hopes,-0.522243 -1.374604 0.725264 0.893948 -0.452249 0.403175 0.062457 -0.071740 -0.046609 -0.185047 0.124191 0.084033 -0.388356 -0.306561 -0.638600 -0.822794
collective,-0.316985 0.145366 -0.490170 -0.147484 -0.092160 -0.327475 0.435370 0.283671 -1.290801 -0.230853 0.037691 1.392969 -0.049342 -0.028577 -0.283712 -0.261882
fake,0.725037 0.607304 -0.587312 0.099583 0.107751 -0.442296 0.507229 0.232805 -0.618159 0.541070 0.048584 0.344246 0.146033 -0.987699 -0.091368 0.059655
tight,-0.670794 -0.312217 0.128145 0.237443 0.051669 -0.835785 0.186851 0.401462 -1.035335 -0.543460 0.178864 1.280075 -0.062995 0.472259 -0.647027 -0.353497
arrange,1.070048 -0.141196 -0.193027 1.451285 0.275905 -0.287001 0.595436 0.453445 -0.146412 -0.076077 -0.253512 -0.265713 0.044830 0.038371 1.245862 -0.164839
ill,-0.701097 -0.084100 0.068548 0.197104 -0.117089 -0.672113 0.322307 0.211792 -0.505672 -0.099664 -0.260407 0.747482 -0.441482 0.071451 -0.923839 -0.286224
ruth,0.135897 -0.913513 0.298684 -0.474104 -0.691779 0.096352 -0.326656 0.371267 -0.498270 -0.100045 -0.189272 -0.340391 -0.175071 -0.833711 -0.507659 -0.069370
analysis_0712,-0.163372 1.030123 -0.580451 0.182740 -0.567596 -0.727865 -0.825472 -0.158375 -0.895815 -0.201537 -0.871172 -0.822652 -0.050051 -0.176114 -0.571572 -0.411951
setting,0.748180 0.331831 -0.000082 0.785603 0.064547 -0.458946 0.824729 0.162162 -0.666595 0.529363 0.398874 -0.121996 -0.133386 0.200346 1.809384 0.558841
aspect,0.001401 -0.846541 0.017432 1.849779 -0.011173 -0.321882 0.114771 -0.078632 0.133775 -0.896228 0.222958 -0.508741 -0.457604 -0.909120 -0.826663 -0.370547
awarded,1.164121 -0.586302 0.805813 0.400429 -0.343482 -0.387164 0.496152 -0.035160 0.068848 -0.031962 0.542652 -0.145386 -0.075466 -0.079011 1.540446 -0.646200
isi,-0.372858 -0.540503 -0.341163 0.340694 -0.689936 0.459315 0.352167 -0.124036 0.132278 -0.085477 0.307421 -0.208226 -0.354950 -0.364596 -0.470068 -0.125489
hesitate,0.863232 -1.293245 1.145076 1.185918 -0.323864 0.399951 -0.116064 0.059536 0.593964 0.215794 -0.525861 -0.624295 -0.542909 -0.772879 0.414403 -0.657036
previously,0.770861 0.225511 -0.264184 -0.104643 0.643221 -0.017251 0.670197 0.494502 0.613117 0.630556 -0.098672 -0.281531 0.072445 -0.615446 -0.252439 -0.029645
duke,-0.127315 -0.248159 -0.688729 0.663248 -0.516837 0.036967 0.156333 0.074636 -0.706709 0.056500 -0.084160 -0.097300 -0.053685 -0.337277 0.122450 0.130931
suggested,0.922027 -1.253672 1.071828 0.441375 -0.242807 1.006651 0.073580 0.244853 0.140947 0.491690 -0.476762 -0.588992 -0.309420 -0.645506 0.771580 -0.534736
rebels,-0.619337 -0.105432 0.002016 1.025246 -0.495216 -0.312267 0.555582 -0.023087 -0.243689 -0.381136 0.317153 -0.181974 -0.179329 -0.154394 -0.652967 -0.034066
accurate,0.771463 -0.571626 -0.233043 -0.735414 -0.069839 -0.599667 0.461915 1.010491 0.125438 0.092368 0.021086 0.044766 -0.233791 -0.878032 -0.038422 -0.107718
allawi,-0.685985 0.761907 -0.195687 0.485113 -0.862395 -1.075870 0.012501 0.197417 0.089089 0.195859 -0.419274 -0.653526 -0.273671 -0.511894 -1.580331 0.099566
gentle,0.233202 1.027863 -0.741248 0.570362 -0.529054 -0.266228 0.297854 0.067896 0.157205 0.373671 -0.017497 0.154508 -0.212933 -1.037380 -0.259864 -0.373221
turkey,-0.184782 -0.628410 0.253212 -0.740406 -0.879638 -0.537998 0.453117 0.812274 0.116759 0.144743 0.380454 -0.211174 -0.344150 -0.689835 -0.808588 0.076399
increased,0.889696 0.334013 -0.400425 -0.102645 -0.008615 -0.724527 -0.065380 0.055480 -0.629443 0.029600 -0.087287 0.194862 0.195359 -0.707407 0.875931 -0.157324
anyways,0.334233 -0.285383 0.127759 -0.653500 -0.434888 0.527539 -0.316593 1.588970 0.445132 -0.185579 -0.837320 -0.790584 -0.634593 -0.979365 0.308360 0.375613
becoming,0.092867 1.624071 0.238229 0.030561 -0.151882 -0.695768 0.249799 -0.427478 -0.874627 0.321306 0.898237 0.171919 -0.302651 0.182707 0.478357 -0.458687
individuals,-0.484049 -0.652714 0.381975 1.332133 -0.329425 0.095538 0.358903 -0.087268 -0.163467 -0.082625 0.365632 0.107296 -0.210422 -0.636120 0.469613 -0.515441
neighbors,-0.394324 -0.368501 0.211496 -0.371751 -0.733843 -0.793147 0.483803 0.411158 -0.262531 0.304981 0.496666 -0.197413 -0.453791 -0.664545 -0.812880 0.181038
camp,0.348502 0.208329 -0.348882 1.138964 -0.420721 -0.248400 -0.002590 -0.349019 -0.671601 -0.042301 -0.136556 -0.186377 -0.089204 -0.559540 -0.515415 0.159663
colleagues,0.378440 0.026118 -0.105759 0.765827 -0.223733 1.700128 0.450636 0.224338 -0.096795 -0.591342 0.465331 -0.757106 -0.768152 -0.488509 -0.757433 -0.175097
selling,1.138933 -0.137541 -0.910718 0.351125 -0.722795 0.517748 0.652851 1.045816 0.034308 0.100729 0.026639 -0.304269 -0.169887 0.492077 2.133907 -0.179027
crop,0.024533 0.277494 -0.570959 0.133062 -0.447570 0.560976 0.728449 -0.221227 -0.924097 0.089953 -0.123812 0.447688 0.108241 -0.450176 -0.531742 -0.209993
target,0.226238 -0.666890 0.080484 1.147403 -0.083869 -0.169620 0.471438 0.127146 -0.217854 -0.358097 0.167545 -0.302800 -0.573925 -0.950904 -0.353071 0.439566
penny,-0.098894 -0.546042 -0.074740 0.303339 -0.379145 -0.817305 0.593237 -0.019293 -0.093991 0.305609 0.296698 -0.615348 -0.792598 -0.778199 -0.864117 -0.107775
transmitted,1.124164 -0.816159 0.490334 2.268546 0.634139 -0.162630 0.544777 0.053618 0.411613 0.293990 -0.143243 -0.662470 -0.323941 -0.094940 1.236558 -0.243671
billing,0.585905 -0.351930 -0.575665 0.046934 -0.614030 0.009956 0.185174 -0.368724 -0.491278 0.052941 -0.386850 0.277157 -0.066100 -0.598887 -0.430283 0.058280
images,-0.243255 0.300502 -0.370048 2.328227 -0.210837 -0.231041 0.301080 -0.588658 -0.245408 -0.068986 0.486640 -0.302132 -0.251711 -0.433775 -0.172252 -0.202965
harry,0.003248 1.353715 -0.443476 0.097010 -0.875514 0.051687 0.430938 -0.568104 0.151399 0.030509 0.116223 0.025534 -0.505287 -0.480387 -0.771866 0.156712
settle,0.757635 0.021704 0.317745 1.128551 0.009184 -0.549452 0.695968 -0.092118 -0.299743 0.370871 0.230433 -0.474020 -0.190184 0.098768 0.336046 -0.146566
sheik,-0.468771 1.360082 -0.660537 0.562109 -0.791170 -0.220059 0.262258 -0.265579 -0.077719 -0.215627 -0.029344 -0.097972 -0.240486 -0.551252 -1.047741 -0.456822
nato,0.344702 -0.409244 -0.907872 -0.256914 -0.771890 0.005172 -0.189946 0.247867 -0.984846 -0.117031 -0.049448 -0.180353 -0.239789 -0.491328 0.563544 0.095217
anytime,-0.890288 -0.543055 0.514479 0.465105 0.004577 0.732272 0.163049 0.587074 -0.539275 0.184558 0.007348 0.304057 -1.059714 0.505221 -0.111928 -0.122249
beings,-0.187477 -0.944753 0.451445 -0.164871 -0.402323 -1.063364 0.495676 0.272476 -0.216067 -0.007651 0.265270 -0.255422 -0.303390 -0.821991 -0.526252 0.215039
mature,0.811052 -0.174443 -0.133118 0.138716 0.195693 -0.424869 0.650165 0.439047 0.269849 0.145314 -0.009637 -0.069675 -0.085980 -0.924698 0.101105 -0.514986
timing,-0.398310 -0.813375 0.193108 1.339099 -0.275428 -0.355129 0.127540 0.244876 -0.139969 -0.738047 0.361001 -0.378288 -0.321188 -0.750876 -1.068527 -0.132212
sandwich,0.446756 -0.402414 -0.155879 -0.137863 -0.500379 0.084470 0.433556 0.283736 -0.381860 0.147944 0.046230 -0.051986 -0.321397 -0.590401 0.009534 0.284442
plane,-0.260663 -1.212236 0.321859 0.625104 -0.311954 -0.126302 0.273539 -0.057222 -0.451340 0.115488 0.137134 -0.144719 -0.497605 -0.640293 -0.583042 -0.170174
plastic,0.733174 0.217849 -0.983603 -0.084181 -0.340180 0.117265 0.472500 -0.060039 -0.386568 0.119318 0.043471 0.080902 -0.035869 -0.598783 -0.127010 -0.291536
plant,0.454417 -0.111636 0.006958 0.126085 -0.528663 -0.133895 0.189989 0.040594 -0.284514 -0.087934 0.214231 -0.421603 -0.112064 -0.517819 -0.386027 -0.442948
dean,-0.318869 0.301708 -0.892252 0.358215 -0.740817 -0.620182 0.335445 -0.564813 -0.159252 -0.130191 0.375164 -0.032717 -0.175193 -0.229643 -0.134786 -0.327176
facing,1.093019 0.161941 0.460360 0.507032 -0.277128 -0.489462 0.649714 -0.298948 -0.144150 0.109559 0.401490 -0.092291 -0.475684 0.025243 1.769490 -0.081246
poses,0.618727 -0.343523 1.055013 -0.309295 -0.350473 -0.775886 0.384646 0.225577 -0.351779 0.397853 0.796530 -0.312095 -0.297619 -0.677084 0.628154 0.016148
litter,0.481767 0.413722 -1.119551 0.264133 -0.462170 -0.485794 0.498109 -0.397839 -0.866302 0.105656 0.040885 0.364030 0.251867 -0.745574 -0.551079 -0.133312
medicine,-0.022832 -0.141118 -0.042398 0.459678 -0.511809 -0.534672 0.092160 -0.010020 -0.221034 -0.063716 0.038132 -0.462371 -0.181946 -0.609481 -0.395513 -0.096225
reviewing,1.407524 0.221206 0.901770 0.055160 0.232983 -1.256576 0.821789 -0.048007 -0.582942 0.108939 0.575726 0.293685 0.386962 -0.263801 2.744150 -0.034682
prompt,0.728823 -0.681500 -0.401636 -0.152261 -0.105039 -0.829557 0.224701 0.602244 -0.235144 0.038723 -0.400479 0.217591 -0.205512 -1.005772 -0.511982 0.483379
recommendation,-0.325074 -0.302460 0.209065 0.152696 -0.612513 0.003646 0.524311 0.267508 -0.223496 0.299879 0.310332 0.097926 -0.408423 -0.758673 -0.461182 -0.351061
parenteau,-0.226070 -0.955763 0.530582 -0.850016 -0.900768 0.203709 -0.206277 0.605846 -0.065665 -0.249968 -0.062170 -0.971844 -0.533537 -0.710383 -0.499010 -0.360568
20th,0.494439 -0.828608 -0.169505 0.439324 -0.183422 -0.905588 0.098651 0.465480 -0.181273 -0.058411 0.018707 -0.170425 -0.301986 -0.725534 -0.584001 0.415460
joke,0.175117 0.762748 -0.171454 -0.381099 -0.564480 -1.080689 0.545801 0.649987 0.030737 0.497318 0.324801 -0.025411 -0.816654 -1.193536 -0.793582 0.326533
priced,0.083813 -0.815662 0.331924 -0.150270 -0.335164 -0.490294 -0.183285 0.711889 -0.066275 -0.066438 -0.633357 -0.584987 0.033277 -0.857761 -0.195011 0.004554
ripped,0.955609 -0.134627 0.292097 1.840726 0.271194 -0.501287 0.846004 -0.365996 -0.621644 0.418384 -0.048357 -0.138455 -0.093019 0.255674 1.716910 0.458854
petsmart,-0.272570 0.677154 -0.130225 0.380695 -0.834084 -0.097055 -0.019606 0.179453 -0.035995 -0.560739 -0.338381 -0.672665 -0.205786 -0.531480 -1.082338 0.044494
plays,0.635536 -0.380584 0.184190 0.133596 -0.350266 0.059787 0.765517 0.671372 0.180500 0.232298 0.608839 -0.588965 -0.473771 0.069400 1.163846 -0.206655
initiative,-0.187637 -1.154736 0.125965 -0.502050 -0.575485 -0.391281 0.573931 0.293644 0.104114 -0.064504 0.043066 -0.414491 -0.434263 -0.554264 -0.862469 -0.214823
essentially,-0.532657 0.998930 0.043781 -0.551635 0.141168 1.601916 0.603359 0.233076 -0.499873 -0.904377 -0.395387 0.412385 -1.608318 0.897404 -1.176752 -0.237350
murderers,-0.359600 -1.227341 0.574270 -0.171844 -0.880932 0.234957 0.418456 0.320497 -0.115928 0.028911 0.004388 -0.442348 -0.316092 -0.247881 -0.608478 0.045448
paint,-0.050332 0.762067 -0.071689 0.777742 -0.277282 -0.601374 0.554536 0.061871 -0.095597 0.199156 -0.052073 -0.278416 -0.101607 -0.496482 0.269454 0.204343
lessons,-0.056149 -0.925146 -0.038354 0.430655 -0.535386 0.245636 0.409948 -0.170973 -0.304772 -0.329652 0.016441 -0.540244 -0.487075 -0.293482 -0.497861 -0.058897
bta,-0.404008 -0.126070 0.539912 -0.070449 -0.655609 0.164208 0.011611 0.464649 -0.400233 0.040211 -0.263262 -0.900428 -0.380377 -0.854274 -0.501353 0.271452
conferences,-0.840063 -0.408744 0.456469 1.187897 -0.228203 -0.744990 0.716634 -0.444066 -0.422710 -0.039977 0.040902 -0.005753 -0.009893 -0.390391 -0.221124 0.154251
offensive,0.106024 1.587938 -0.490383 0.610057 -0.471139 -0.200180 0.524278 0.325003 0.124240 0.053407 0.028145 -0.159748 -0.200771 -0.950794 -1.046846 -0.008728
stones,-0.614754 -0.207667 -0.470942 0.260423 -0.286557 -1.052882 0.474342 -0.058309 0.104500 0.289859 0.071613 -0.406864 -0.410795 -0.184162 -0.918749 -0.054973
sincerely,-0.544925 0.023978 0.370883 -0.241914 -0.158963 -0.538982 -0.113274 0.603120 -0.311400 -0.949132 -0.603725 0.768824 -1.474444 0.233152 -0.485011 0.648369
extreme,0.421382 -0.325277 -0.656930 0.091443 -0.146946 -0.591445 0.524426 0.512117 -0.291095 0.338646 -0.441723 0.408999 0.189184 -0.723713 -0.009655 0.289643
hire,0.897169 0.048690 0.013965 0.433663 -0.162016 0.252652 1.073523 0.720994 -0.195834 0.876002 -0.114574 -0.247707 0.587340 0.282333 1.778985 -0.376739
kid,0.315806 -0.212370 -0.311927 0.877221 -0.385676 0.524986 0.428409 -0.066154 -0.215217 -0.224839 -0.019544 -0.344588 -0.545295 -0.751576 -0.801637 0.158478
